Uniprot ID,Gene,Species,TCGA-CancerName,Cancer Type,Impact,Category,Evidence
Q9Y4K0,LOXL2,Homo sapiens (Human),PRAD,Prostate cancer,increase,Secretion,CAF-derived LOXL2 is an important mediator of intercellular communication within the prostate tumor microenvironment and is a potential therapeutic target.
P10889,CXCL2,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P08505,IL6,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P10749,IL1B,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P12850,GROA,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P50228,CXCL5,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
Q05769,PGH2,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P13609,SRGN,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P10855,CCL3,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P34960,MMP12,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
Q8R460,IL36G,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P28862,MMP3,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
E9PV24,FIBA,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P12813,NR4A1,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
P97430,SLPI,Mus musculus (Mouse),other,Skin squamous cell carcinomas,increase,Responsor,We sought to identify genes whose expression changed in CAFs in early neoplastic skin lesionscompared to their normal dermal counterparts.
O15427,MOT4,Homo sapiens (Human),HNSC,Oral squamous cell carcinoma,increase,Responsor,"Expression of ?SMA glucose transporter 1, hexokinase 2, lactic dehydrogenase and mono.carboxylate transporter (MCT) 4 were significantly overexpressed in activated fibroblasts, while IL1? and MCT1 were upregulated in OSCC cells, indicating enhanced glycolysis in cells of the tumor stroma and a lactate shuttle to the tumor cells."
P11166,GTR1,Homo sapiens (Human),HNSC,Oral squamous cell carcinoma,increase,Responsor,"GLUT1, HK2, LDHA and MCT4 expression was increased in activated fibroblast compared with fibroblasts cultured alone."
P52789,HXK2,Homo sapiens (Human),HNSC,Oral squamous cell carcinoma,increase,Responsor,"GLUT1, HK2, LDHA and MCT4 expression was increased in activated fibroblast compared with fibroblasts cultured alone."
P00338,LDHA,Homo sapiens (Human),HNSC,Oral squamous cell carcinoma,increase,Responsor,"GLUT1, HK2, LDHA and MCT4 expression was increased in activated fibroblast compared with fibroblasts cultured alone."
