"gs_name","gene_symbol","category"
"H_Apoptosis","ADD1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","AIFM3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ANKH","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ANXA1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","APP","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ATF3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","AVPR1A","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BAX","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCAP31","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCL10","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCL2L1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCL2L10","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCL2L11","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BCL2L2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BGN","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BID","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BIK","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BIRC3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BMF","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BMP2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BNIP3L","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BRCA1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BTG2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","BTG3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP4","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP6","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP7","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP8","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CASP9","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CAV1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CCNA1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CCND1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CCND2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CD14","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CD2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CD38","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CD44","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CD69","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CDC25B","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CDK2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CDKN1A","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CDKN1B","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CFLAR","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CLU","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CREBBP","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CTH","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CTNNB1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","CYLD","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DAP","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DAP3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DCN","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DDIT3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DFFA","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DIABLO","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DNAJA1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DNAJC3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DNM1L","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","DPYD","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","EBP","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","EGR3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","EMP1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ENO2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ERBB2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ERBB3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","EREG","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","ETF1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","F2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","F2R","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","FAS","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","FASLG","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","FDXR","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","FEZ1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GADD45A","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GADD45B","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GCH1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GNA15","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GPX1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GPX3","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GPX4","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GSN","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GSR","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GSTM1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","GUCY2D","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","H1-0","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","HGF","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","HMGB2","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","HMOX1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","HSPB1","Cell_Cycle_and_Apoptosis"
"H_Apoptosis","IER3","Cell_Cycle_and_Apoptosis"
