barcode,sample_type,cancer_status
TCGA-3N-A9WB-06A-11R-A38C-07,Metastatic,Tumor
TCGA-3N-A9WC-06A-11R-A38C-07,Metastatic,Tumor
TCGA-3N-A9WD-06A-11R-A38C-07,Metastatic,Tumor
TCGA-BF-AAP0-06A-11R-A39D-07,Metastatic,Tumor
TCGA-D3-A1Q1-06A-21R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q3-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q4-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q5-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q6-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q7-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q8-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1Q9-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1QA-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A1QB-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2J6-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2J7-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2J8-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2J9-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JA-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JB-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JC-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JD-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JE-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A2JF-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A2JG-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JH-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A2JK-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A2JL-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A2JN-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A2JO-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A2JP-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A3BZ-06A-12R-A18S-07,Metastatic,Tumor
TCGA-D3-A3C6-06A-12R-A18U-07,Metastatic,Tumor
TCGA-D3-A3C7-06A-11R-A18U-07,Metastatic,Tumor
TCGA-D3-A3C8-06A-12R-A18S-07,Metastatic,Tumor
TCGA-D3-A3CB-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A3CC-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A3CE-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D3-A3CF-06A-11R-A18T-07,Metastatic,Tumor
TCGA-D3-A3ML-06A-11R-A21D-07,Metastatic,Tumor
TCGA-D3-A3MO-06A-11R-A21D-07,Metastatic,Tumor
TCGA-D3-A3MR-06A-11R-A21D-07,Metastatic,Tumor
TCGA-D3-A3MU-06A-11R-A21D-07,Metastatic,Tumor
TCGA-D3-A3MV-06A-11R-A21D-07,Metastatic,Tumor
TCGA-D3-A51E-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51F-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51H-06A-12R-A266-07,Metastatic,Tumor
TCGA-D3-A51J-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51K-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51N-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51R-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A51T-06A-11R-A266-07,Metastatic,Tumor
TCGA-D3-A5GL-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-D3-A5GN-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-D3-A5GO-06A-12R-A27Q-07,Metastatic,Tumor
TCGA-D3-A5GR-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-D3-A5GS-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-D3-A5GU-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-D3-A8GB-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GC-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GD-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GE-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GI-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GJ-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GK-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GL-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GM-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GN-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GP-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GQ-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GR-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GS-06A-12R-A37K-07,Metastatic,Tumor
TCGA-D3-A8GV-06A-11R-A37K-07,Metastatic,Tumor
TCGA-D9-A148-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D9-A149-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D9-A1JX-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D9-A1X3-06A-11R-A18S-07,Metastatic,Tumor
TCGA-D9-A3Z1-06A-11R-A239-07,Metastatic,Tumor
TCGA-D9-A3Z3-06A-11R-A239-07,Metastatic,Tumor
TCGA-D9-A4Z6-06A-12R-A266-07,Metastatic,Tumor
TCGA-D9-A6E9-06A-12R-A311-07,Metastatic,Tumor
TCGA-D9-A6EA-06A-11R-A311-07,Metastatic,Tumor
TCGA-D9-A6EC-06A-11R-A311-07,Metastatic,Tumor
TCGA-D9-A6EG-06A-12R-A32P-07,Metastatic,Tumor
TCGA-DA-A1HV-06A-21R-A18S-07,Metastatic,Tumor
TCGA-DA-A1HW-06A-11R-A18U-07,Metastatic,Tumor
TCGA-DA-A1HY-06A-11R-A18T-07,Metastatic,Tumor
TCGA-DA-A1I0-06A-11R-A20F-07,Metastatic,Tumor
TCGA-DA-A1I1-06A-12R-A18U-07,Metastatic,Tumor
TCGA-DA-A1I2-06A-21R-A18U-07,Metastatic,Tumor
TCGA-DA-A1I4-06A-11R-A18U-07,Metastatic,Tumor
TCGA-DA-A1I5-06A-11R-A18T-07,Metastatic,Tumor
TCGA-DA-A1I7-06A-22R-A18S-07,Metastatic,Tumor
TCGA-DA-A1I8-06A-11R-A18T-07,Metastatic,Tumor
TCGA-DA-A1IA-06A-11R-A18S-07,Metastatic,Tumor
TCGA-DA-A1IB-06A-11R-A18S-07,Metastatic,Tumor
TCGA-DA-A1IC-06A-11R-A18S-07,Metastatic,Tumor
TCGA-DA-A3F2-06A-11R-A20F-07,Metastatic,Tumor
TCGA-DA-A3F3-06A-11R-A20F-07,Metastatic,Tumor
TCGA-DA-A3F5-06A-11R-A20F-07,Metastatic,Tumor
TCGA-DA-A3F8-06A-11R-A20F-07,Metastatic,Tumor
TCGA-DA-A95V-06A-11R-A37K-07,Metastatic,Tumor
TCGA-DA-A95W-06A-11R-A37K-07,Metastatic,Tumor
TCGA-DA-A95X-06A-11R-A37K-07,Metastatic,Tumor
TCGA-DA-A95Y-06A-11R-A37K-07,Metastatic,Tumor
TCGA-DA-A95Z-06A-11R-A37K-07,Metastatic,Tumor
TCGA-EB-A44Q-06A-11R-A266-07,Metastatic,Tumor
TCGA-EB-A44R-06A-41R-A266-07,Metastatic,Tumor
TCGA-EB-A5KH-06A-11R-A27Q-07,Metastatic,Tumor
TCGA-EB-A5SG-06A-11R-A311-07,Metastatic,Tumor
TCGA-EB-A5SH-06A-11R-A311-07,Metastatic,Tumor
TCGA-EB-A5UL-06A-11R-A311-07,Metastatic,Tumor
TCGA-EB-A5UN-06A-11R-A311-07,Metastatic,Tumor
TCGA-EB-A5VV-06A-11R-A32P-07,Metastatic,Tumor
TCGA-EB-A6L9-06A-11R-A32P-07,Metastatic,Tumor
TCGA-EE-A17X-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A17Y-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A17Z-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A180-06A-11R-A21D-07,Metastatic,Tumor
TCGA-EE-A181-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A182-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A183-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A184-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A185-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20B-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A20C-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20F-06A-21R-A18S-07,Metastatic,Tumor
TCGA-EE-A20H-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20I-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29A-06A-12R-A18U-07,Metastatic,Tumor
TCGA-EE-A29B-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29C-06A-21R-A18S-07,Metastatic,Tumor
TCGA-EE-A29D-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29E-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29G-06A-12R-A18T-07,Metastatic,Tumor
TCGA-EE-A29H-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29L-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29M-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29N-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29P-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29Q-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29R-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29S-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29T-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29V-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29W-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29X-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A0-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A1-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A2-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A5-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A6-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GB-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GC-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GD-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GE-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GH-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GI-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GJ-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A2GK-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GL-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GM-06B-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GN-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GO-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GP-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GR-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GS-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GT-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GU-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2M5-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2M6-06A-12R-A18S-07,Metastatic,Tumor
